gene,polyA_group,feature_type,feature_id,chrom,start,end,strand,transcripts,transcript_names,avg_utr_length,min_utr_length,max_utr_length,evidence_tier
BCL2,BCL2_polyA1,polyA_window,BCL2_polyA1_window,18,63123146,63123546,-,ENST00000333681;ENST00000398117;ENST00000677635;ENST00000678134;ENST00000678301;ENST00000678349,BCL2-201;BCL2-202;BCL2-206;BCL2-207;BCL2-208;BCL2-209,77812.6,5282,194706,tier3_polyA
BCL2,BCL2_polyA1,last_exon_group,BCL2_polyA1_exon_ENST00000333681,18,63123346,63128759,-,ENST00000333681,BCL2-201,77812.6,5282,194706,tier1_group
BCL2,BCL2_polyA1,last_exon_group,BCL2_polyA1_exon_ENST00000398117,18,63123346,63128759,-,ENST00000398117,BCL2-202,77812.6,5282,194706,tier1_group
BCL2,BCL2_polyA1,last_exon_group,BCL2_polyA1_exon_ENST00000677635,18,63123346,63128759,-,ENST00000677635,BCL2-206,77812.6,5282,194706,tier1_group
BCL2,BCL2_polyA1,last_exon_group,BCL2_polyA1_exon_ENST00000678134,18,63123346,63128759,-,ENST00000678134,BCL2-207,77812.6,5282,194706,tier1_group
BCL2,BCL2_polyA1,last_exon_group,BCL2_polyA1_exon_ENST00000678301,18,63123346,63128759,-,ENST00000678301,BCL2-208,77812.6,5282,194706,tier1_group
BCL2,BCL2_polyA1,last_exon_group,BCL2_polyA1_exon_ENST00000678349,18,63123346,63128759,-,ENST00000678349,BCL2-209,77812.6,5282,194706,tier1_group
BCL2,BCL2_polyA2,polyA_window,BCL2_polyA2_window,18,63127577,63127977,-,ENST00000677227,BCL2-205,153219.0,153219,153219,tier3_polyA
BCL2,BCL2_polyA2,last_exon_group,BCL2_polyA2_exon_ENST00000677227,18,63127777,63128759,-,ENST00000677227,BCL2-205,153219.0,153219,153219,tier1_group
BCL2,BCL2_polyA3,polyA_window,BCL2_polyA3_window,18,63128012,63128412,-,ENST00000590515,BCL2-204,416.0,416,416,tier3_polyA
BCL2,BCL2_polyA3,last_exon_group,BCL2_polyA3_exon_ENST00000590515,18,63128212,63128759,-,ENST00000590515,BCL2-204,416.0,416,416,tier1_group
BCL2,BCL2_polyA4,polyA_window,BCL2_polyA4_window,18,63313602,63314002,-,ENST00000589955,BCL2-203,4250.0,4250,4250,tier3_polyA
BCL2,BCL2_polyA4,last_exon_group,BCL2_polyA4_exon_ENST00000589955,18,63313802,63318812,-,ENST00000589955,BCL2-203,4250.0,4250,4250,tier1_group
CD19,CD19_polyA1,polyA_window,CD19_polyA1_window,16,28933441,28933841,+,ENST00000566890,CD19-204,,,,tier3_polyA
CD19,CD19_polyA1,last_exon_group,CD19_polyA1_exon_ENST00000566890,16,28933234,28933641,+,ENST00000566890,CD19-204,,,,tier1_group
CD19,CD19_polyA2,polyA_window,CD19_polyA2_window,16,28939018,28939418,+,ENST00000567368,CD19-205,,,,tier3_polyA
