gene,transcript_id,transcript_name,strand,last_exon_start,last_exon_end,utr_length,utr_status,ig_label
BCL2,ENST00000333681,BCL2-201,-,63123346,63128759,5282,valid,
BCL2,ENST00000398117,BCL2-202,-,63123346,63128759,5282,valid,
BCL2,ENST00000589955,BCL2-203,-,63313802,63318812,4250,valid,
BCL2,ENST00000590515,BCL2-204,-,63128212,63128759,416,valid,
BCL2,ENST00000677227,BCL2-205,-,63127777,63128759,153219,valid,
BCL2,ENST00000677635,BCL2-206,-,63123346,63128759,,missing_CDS,
BCL2,ENST00000678134,BCL2-207,-,63123346,63128759,178511,valid,
BCL2,ENST00000678301,BCL2-208,-,63123346,63128759,5282,valid,
BCL2,ENST00000678349,BCL2-209,-,63123346,63128759,194706,valid,
CD19,ENST00000324662,CD19-201,+,28939141,28939340,380,valid,
CD19,ENST00000538922,CD19-202,+,28939141,28939342,382,valid,
CD19,ENST00000565089,CD19-203,+,28939141,28939342,,missing_CDS,
CD19,ENST00000566890,CD19-204,+,28933234,28933641,,missing_CDS,
CD19,ENST00000567368,CD19-205,+,28939141,28939218,,missing_CDS,
CD22,ENST00000085219,CD22-201,+,35346566,35347361,667,valid,
CD22,ENST00000341773,CD22-202,+,35346566,35347355,661,valid,
CD22,ENST00000419549,CD22-203,+,35346566,35346929,235,valid,
CD22,ENST00000536635,CD22-204,+,35346566,35347355,661,valid,
CD22,ENST00000544992,CD22-205,+,35346566,35346929,734,valid,
CD22,ENST00000593704,CD22-206,+,35345051,35345424,,missing_CDS,
CD22,ENST00000593867,CD22-207,+,35336036,35336300,,invalid_or_negative,
CD22,ENST00000594125,CD22-208,+,35345051,35345126,3989,valid,
CD22,ENST00000594250,CD22-209,+,35346566,35346766,72,valid,
CD22,ENST00000594349,CD22-210,+,35338168,35338170,1855,valid,
CD22,ENST00000594954,CD22-211,+,35329367,35329928,,missing_CDS,
CD22,ENST00000595419,CD22-212,+,35332594,35332931,,missing_CDS,
CD22,ENST00000595780,CD22-213,+,35332547,35332912,,invalid_or_negative,
CD22,ENST00000596492,CD22-214,+,35336036,35336146,,missing_CDS,
CD22,ENST00000597433,CD22-215,+,35340881,35341029,,missing_CDS,
CD22,ENST00000597916,CD22-216,+,35336036,35336042,,invalid_or_negative,
CD22,ENST00000598028,CD22-217,+,35337755,35337977,,missing_CDS,
CD22,ENST00000598138,CD22-218,+,35336036,35336191,,missing_CDS,
